date_time,room,theatre,imdb_id
2015-01-10 19:05,3,MAJESTIC,tt1179031
2015-01-05 18:10,5,LILLE,tt3398268
2015-01-24 18:00,6,LILLE,tt2446042
2015-01-24 19:55,8,LILLE,tt2980516
2015-01-25 14:00,6,MAJESTIC,tt3433622
2015-01-25 15:50,4,LILLE,tt3045616
2015-01-31 15:50,6,LILLE,tt2084970
2015-02-01 11:15,4,MAJESTIC,tt2180411
2015-02-04 19:45,12,LILLE,tt1809398
2015-02-04 22:10,9,LILLE,tt2692250
2015-02-13 20:00,8,LILLE,tt1617661
2015-02-13 22:25,8,LILLE,tt2245084
2015-02-14 11:15,1,MAJESTIC,tt3037028
2015-02-14 13:20,6,LILLE,tt2322441
2015-02-17 21:00,6,MAJESTIC,tt1605717
2015-02-21 13:55,8,LILLE,tt2802144
2015-02-21 16:05,2,LILLE,tt2392672
2015-02-22 14:00,1,LILLE,tt2179136
2015-02-25 19:45,8,LILLE,tt2909116
2015-02-28 13:55,8,LILLE,tt2562232
2015-02-28 15:55,4,LILLE,tt2436386
2015-03-03 19:45,6,LILLE,tt2179136
2015-03-06 10:40,6,LILLE,tt1823672
2015-03-08 15:50,3,LILLE,tt4080672
2015-03-17 20:10,11,LILLE,tt1567437
2015-03-22 16:45,12,LILLE,tt2717822
2015-03-22 19:30,1,MAJESTIC,tt1126590
2015-03-27 18:05,6,LILLE,tt2381941
2015-03-27 20:00,4,LILLE,tt2908446
2015-03-29 20:15,9,LILLE,tt4058500
2015-03-29 22:20,1,LILLE,tt1661199
2015-04-01 19:40,6,LILLE,tt2820852
2015-04-01 22:10,9,LILLE,tt2872750
2015-04-06 15:55,7,LILLE,tt3817962
2015-04-11 18:00,8,LILLE,tt2402101
2015-04-21 17:30,2,MAJESTIC,tt2395417
2015-04-23 17:50,13,LILLE,tt2224026
2015-04-23 19:30,4,MAJESTIC,tt1767372
2015-04-24 16:45,1,LILLE,tt2395427
2015-04-25 18:00,7,LILLE,tt4032428
2015-05-02 14:00,4,MAJESTIC,tt1707380
2015-05-03 20:15,9,LILLE,tt3913206
2015-05-09 14:00,4,LILLE,tt2639254
2015-05-09 16:00,8,LILLE,tt4466936
2015-05-13 20:15,5,LILLE,tt3717532
2015-05-14 19:50,11,LILLE,tt3791302
2015-05-16 19:35,6,MAJESTIC,tt3155242
2015-05-19 19:50,1,LILLE,tt1392190
2015-05-24 17:00,3,LILLE,tt1964418
2015-05-30 13:50,1,LILLE,tt2126355
2015-05-30 15:50,12,LILLE,tt1881002
2015-06-04 20:15,4,LILLE,tt0470752
2015-06-04 22:20,11,LILLE,tt3896710
2015-06-21 14:00,1,MAJESTIC,tt4120210
2015-06-21 15:30,2,MAJESTIC,tt2096673
2015-06-26 18:00,4,LILLE,tt2191765
2015-06-26 19:45,3,LILLE,tt0369610
2015-07-08 19:45,10,LILLE,tt1340138
2015-07-11 16:00,14,LILLE,tt3966404
2015-07-11 17:50,1,LILLE,tt2293640
2015-07-12 18:00,9,LILLE,tt3713944
2015-07-12 19:40,2,LILLE,tt3278330
2015-07-19 14:00,8,LILLE,tt0478970
2015-08-01 18:05,1,LILLE,tt1754656
2015-08-01 20:00,4,LILLE,tt1798684
2015-08-05 15:50,6,LILLE,tt1502712
2015-08-06 20:00,10,LILLE,tt2140379
2015-08-09 17:15,3,MAJESTIC,tt2614722
2015-08-11 18:00,8,LILLE,tt2637276
2015-08-14 19:55,6,LILLE,tt2381249
2015-08-14 22:10,2,LILLE,tt3622592
2015-08-16 13:50,8,LILLE,tt1727770
2015-08-22 20:10,3,LILLE,tt3316948
2015-09-02 20:15,6,LILLE,tt4082068
2015-09-02 22:10,4,LILLE,tt3811986
2015-09-12 19:45,8,LILLE,tt4466556
2015-09-14 19:15,1,MAJESTIC,tt3792960
2015-09-15 20:20,1,LILLE,tt1291570
2015-09-17 20:10,5,LILLE,tt2938956
2015-09-18 20:15,4,LILLE,tt1596345
2015-09-19 20:15,9,LILLE,tt1638355
2015-09-20 20:15,8,LILLE,tt2296747
2015-10-04 18:05,7,LILLE,tt4685750
2015-10-04 19:50,1,LILLE,tt2719848
2015-10-04 22:10,11,LILLE,tt4025194
2015-10-11 16:30,11,LILLE,tt3397884
2015-10-13 20:15,14,LILLE,tt3582040
2015-10-13 22:10,11,LILLE,tt2510894
2015-10-14 19:40,6,LILLE,tt4046784
2015-10-18 14:00,9,LILLE,tt2554274
2015-10-18 16:00,8,LILLE,tt3715320
2015-10-23 20:15,8,LILLE,tt3332064
2015-10-24 13:45,7,LILLE,tt3858372
2015-10-24 15:15,4,MAJESTIC,tt3011816
2015-10-27 20:20,1,LILLE,tt3659388
2015-11-02 13:50,11,LILLE,tt3464902
2015-11-08 14:00,13,LILLE,tt3488710
2015-11-10 20:15,8,LILLE,tt4084056
2015-11-12 19:05,9,LILLE,tt2379713
2015-11-15 16:45,13,LILLE,tt3319920
2015-11-20 19:50,11,LILLE,tt2884018
2015-11-21 10:30,6,LILLE,tt1951266
2015-11-24 20:15,11,LILLE,tt3814316
2015-11-27 21:15,4,MAJESTIC,tt1355683
2015-11-29 22:00,8,LILLE,tt1979388
2015-12-02 18:00,7,LILLE,tt4228294
2015-12-02 19:45,11,LILLE,tt4449576
2015-12-20 15:40,14,LILLE,tt3411432
2015-12-21 18:35,2,MAJESTIC,tt3682448
2015-12-22 17:50,9,LILLE,tt4400058
2015-12-22 22:20,3,LILLE,tt1918911
2015-12-23 19:30,3,LILLE,tt1596363
2015-12-23 21:45,1,LILLE,tt2488496
2015-12-27 13:45,11,LILLE,tt2452042
