date_time,room,theatre
2016-01-01 13:50,4,LILLE
2016-01-12 20:00,11,LILLE
2016-01-18 20:20,1,LILLE
2016-01-19 20:00,9,LILLE
2016-01-24 16:30,9,LILLE
2016-01-30 15:55,1,LILLE
2016-01-31 13:25,9,LILLE
2016-02-01 20:00,9,LILLE
2016-02-04 17:45,7,LILLE
2016-02-04 19:50,9,LILLE
2016-02-06 13:45,1,MAJESTIC
2016-02-06 15:45,9,LILLE
2016-02-06 17:50,8,LILLE
2016-02-07 16:55,5,MAJESTIC
2016-02-14 18:00,1,LILLE
2016-02-16 20:20,8,LILLE
2016-02-18 20:15,8,LILLE
2016-02-19 20:15,2,LILLE
2016-02-20 13:45,9,LILLE
2016-02-28 10:40,1,LILLE
2016-02-23 20:15,8,LILLE
2016-02-22 20:15,6,LILLE
2016-02-28 14:00,12,LILLE
2016-03-06 13:40,4,LILLE
2016-03-09 20:15,1,LILLE
2016-03-12 17:05,2,MAJESTIC
2016-03-12 18:55,1,MAJESTIC
2016-03-16 20:10,10,LILLE
2016-03-16 22:10,4,LILLE
2016-03-26 15:45,13,LILLE
2016-03-27 13:45,1,LILLE
2016-03-28 15:50,3,LILLE
2016-03-30 10:45,9,LILLE
2016-04-06 21:00,5,LILLE
2016-04-10 15:40,1,LILLE
2016-04-10 19:30,2,MAJESTIC
2016-04-16 11:00,7,LILLE
2016-04-17 13:40,3,LILLE
2016-04-18 20:00,6,LILLE
2016-04-21 13:30,12,LILLE
2016-04-21 15:30,1,LILLE
2016-05-01 15:50,10,LILLE
2016-05-01 17:40,4,MAJESTIC
2016-05-01 19:15,1,LILLE
2016-05-04 20:15,1,LILLE
2016-05-08 20:15,7,LILLE
2016-05-14 15:35,2,LILLE
2016-05-14 17:40,11,LILLE
2016-05-15 15:30,5,MAJESTIC
2016-05-19 20:10,10,LILLE
2016-05-20 20:05,4,LILLE
2016-05-21 13:45,2,LILLE
2016-05-23 20:15,8,LILLE
2016-05-25 19:25,3,LILLE
2016-06-05 18:00,1,LILLE
2016-06-06 20:05,10,LILLE
2016-06-10 19:30,8,LILLE
2016-06-13 20:10,13,LILLE
2016-06-21 20:15,8,LILLE
2016-06-22 20:10,1,LILLE
2016-06-26 20:15,12,LILLE
2016-06-29 19:00,2,MAJESTIC
2016-07-03 14:00,13,LILLE
2016-07-03 15:55,1,LILLE
2016-07-03 17:40,5,LILLE
2016-07-11 18:05,1,LILLE
2016-07-11 20:10,10,LILLE
2016-07-11 22:00,7,LILLE
2016-07-14 14:00,6,LILLE
2016-07-14 15:50,8,LILLE
2016-07-23 14:00,1,LILLE
2016-07-27 22:00,9,LILLE
2016-07-23 20:15,9,LILLE
2016-07-27 19:30,1,LILLE
2016-08-01 16:15,6,MAJESTIC
2016-08-01 17:50,10,LILLE
2016-08-04 19:45,1,LILLE
2016-08-13 13:30,1,LILLE
2016-08-13 15:40,9,LILLE
2016-08-14 13:40,3,MAJESTIC
2016-08-14 19:50,10,LILLE
2016-08-15 15:40,2,MAJESTIC
2016-08-15 19:50,3,LILLE
2016-08-16 20:25,4,MAJESTIC
2016-08-17 19:40,1,LILLE
2016-08-19 20:10,11,LILLE
2016-08-24 20:15,1,LILLE
2016-08-28 13:45,6,LILLE
2016-09-04 17:50,6,LILLE
2016-09-07 19:00,1,MAJESTIC
2016-09-08 19:50,6,LILLE
2016-09-14 22:15,1,LILLE
2016-09-16 18:00,9,LILLE
2016-09-17 14:00,3,LILLE
2016-09-19 20:15,9,LILLE
2016-09-20 19:50,12,LILLE
2016-09-21 19:40,10,LILLE
2016-09-25 17:50,8,LILLE
2016-09-29 22:15,6,LILLE
2016-10-02 14:00,9,LILLE
2016-10-04 20:15,3,LILLE
2016-10-03 22:15,12,LILLE
2016-10-06 19:45,6,LILLE
2016-10-08 19:50,6,LILLE
2016-10-15 19:50,11,LILLE
2016-10-20 20:15,1,LILLE
2016-10-22 14:00,6,LILLE
2016-10-22 20:05,2,LILLE
2016-10-29 16:45,13,LILLE
2016-10-29 18:55,1,LILLE
2016-10-31 18:05,3,LILLE
2016-11-09 19:55,1,LILLE
2016-11-12 19:45,11,LILLE
2016-11-18 19:30,1,LILLE
2016-11-25 20:15,4,LILLE
2016-11-26 10:55,10,LILLE
2016-11-26 13:30,13,LILLE
2016-12-02 20:00,8,LILLE
2016-12-03 14:05,4,LILLE
2016-12-04 13:50,8,LILLE
2016-12-04 15:50,11,LILLE
2016-12-08 19:40,10,LILLE
2016-12-10 14:00,10,LILLE
2016-12-10 16:00,9,LILLE
2016-12-11 19:15,12,LILLE
2016-12-13 20:00,12,LILLE
2016-12-14 19:10,2,LILLE
2016-12-18 13:55,1,LILLE
2016-12-19 20:00,5,LILLE
2016-12-22 19:55,1,LILLE
2016-12-24 10:30,11,LILLE
2016-12-24 14:00,14,LILLE
2016-12-25 18:05,11,LILLE
2016-12-28 16:30,1,LILLE
2016-12-29 18:00,12,LILLE
