Const,Your Rating,Date Rated,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,YearRated,Metascore Rating
tt1880399,6,2018-05-14,Kodachrome,https://www.imdb.com/title/tt1880399/,movie,6.8,105,2017,Drama,4601,2017-09-08,Mark Raso,2018,5.7
tt2231461,4,2018-05-05,Rampage,https://www.imdb.com/title/tt2231461/,movie,6.5,107,2018,"Action, Adventure, Sci-Fi",28022,2018-04-11,Brad Peyton,2018,4.5
tt2296777,2,2018-05-01,Sherlock Gnomes,https://www.imdb.com/title/tt2296777/,movie,4.7,86,2018,"Animation, Adventure, Comedy, Family, Fantasy, Mystery, Romance",2455,2018-03-15,John Stevenson,2018,3.6
tt3721964,4,2018-05-10,Gringo,https://www.imdb.com/title/tt3721964/,movie,6,111,2018,"Action, Comedy, Crime",6067,2018-03-08,Nash Edgerton,2018,4.6
tt3778644,5,2018-05-27,Solo: A Star Wars Story,https://www.imdb.com/title/tt3778644/,movie,7.2,135,2018,"Action, Adventure, Fantasy, Sci-Fi",65132,2018-05-10,Ron Howard,2018,6.2
tt0408839,3,2018-04-30,The Heartbreak Kid,https://www.imdb.com/title/tt0408839/,movie,5.8,116,2007,"Comedy, Romance",77580,2007-09-27,"Bobby Farrelly, Peter Farrelly",2018,4.6
tt4964788,6,2018-05-11,Todos lo saben,https://www.imdb.com/title/tt4964788/,movie,7.4,132,2018,"Drama, Mystery, Thriller",965,2018-05-08,Asghar Farhadi,2018,6.7
tt5117670,6,2018-04-30,Peter Rabbit,https://www.imdb.com/title/tt5117670/,movie,6.6,95,2018,"Animation, Adventure, Comedy, Family, Fantasy",14600,2018-02-03,Will Gluck,2018,5.1
tt5463162,7,2018-05-27,Deadpool 2,https://www.imdb.com/title/tt5463162/,movie,8.1,119,2018,"Action, Adventure, Comedy, Sci-Fi",123867,2018-05-10,David Leitch,2018,6.6
tt6069126,7,2018-05-12,The Escape,https://www.imdb.com/title/tt6069126/,movie,5.9,105,2017,Drama,337,2017-09-12,Dominic Savage,2018,7.7
tt6423886,4,2018-04-30,Happy Anniversary,https://www.imdb.com/title/tt6423886/,movie,5.7,78,2018,Comedy,2005,2018-03-30,Jared Stern,2018,NA
tt6632000,4,2018-05-10,Comme des rois,https://www.imdb.com/title/tt6632000/,movie,5.9,84,2017,Drama,45,2017-08-22,Xabi Molia,2018,NA
tt6821012,4,2018-04-30,The Week Of,https://www.imdb.com/title/tt6821012/,movie,5,116,2018,Comedy,7874,2018-04-27,Robert Smigel,2018,4.1
tt7305366,5,2018-05-10,Monsieur Je-Sais-Tout,https://www.imdb.com/title/tt7305366/,movie,6.7,99,2018,"Comedy, Drama",53,2018-05-09,"François Prévôt-Leygonie, Stéphan Archinard",2018,NA
tt7534054,7,2018-05-14,"Plaire, aimer et courir vite",https://www.imdb.com/title/tt7534054/,movie,6.9,132,2018,"Drama, Romance",249,2018-05-10,Christophe Honoré,2018,7.2
tt8398768,5,2018-05-31,Mon ket,https://www.imdb.com/title/tt8398768/,movie,6.1,89,2018,NANA,33,2018-05-30,François Damiens,2018,NA
tt1014759,4,2016-05-01,Alice in Wonderland,https://www.imdb.com/title/tt1014759/,movie,6.5,108,2010,"Adventure, Family, Fantasy",340471,2010-02-25,Tim Burton,2016,5.3
